CompanyName,EmailAddress,Phone,StreetAddress,City
Dependable Care Transportation,,(323) 556-8600,639 N Fairfax Ave,"Los Angeles, CA 90036"
Als Transportation,mailto:zs@thecitywide.com,(818) 502-2559,327 Arden Ave,"Glendale, CA 91203"
Trans Aid Ambulance Transportation,,(323) 204-6921,1300 Gardena Ave,"Glendale, CA 91204"
Good Care Transportation,,(213) 484-1710,1711 W Temple St,"Los Angeles, CA 90026"
Gurney Wheelchair Accessible Transportation By World Trans,,(818) 776-0815,-,-
Impulse Ambulance Inc.,,(310) 550-1233,12527 Vanowen St,"North Hollywood, CA 91605"
"Elite Ambulance, Inc.",,(323) 874-4100,2065 S La Cienega Blvd,"Los Angeles, CA 90034"
T & N Medical Transport Inc,,(323) 660-2284,5617 Hollywood Blvd Ste 115,"Los Angeles, CA 90028"
Enova Medical Response Inc,,(213) 482-9654,147 N Union Ave,"Los Angeles, CA 90026"
Enova Medical Response Inc,,(213) 482-9651,147 N Avenue 18,"Los Angeles, CA 90031"
Enova Medical Response Inc,,(213) 482-9655,119 Belmont Ave,"Los Angeles, CA 90026"
American Medical Response,,(818) 865-0407,751 Deer Run Ln,"Oak Park, CA 91377"
American Medical Response,,(800) 404-1222,72 Moody Ct,"Thousand Oaks, CA 91360"
American Medical Response,,(805) 517-2010,616 Fitch Ave,"Moorpark, CA 93021"
Medics On Wheels,mailto:info@medicsonwheels.us,(310) 321-2652,18546 Sherman Way Ste 106,"Reseda, CA 91335"
Ruiz Medical Transport,,(805) 482-7942,83 E Loop Dr,"Camarillo, CA 93010"
Muran Ambulance Services,,(818) 365-3182,1211 1st St,"San Fernando, CA 91340"
Safeway Non-Emergency Medical Trans,,(818) 764-8000,13252 Keswick St,"North Hollywood, CA 91605"
Ronald Reagan UCLA Medical Center,,(310) 825-9111,757 Westwood Plz,"Los Angeles, CA 90095"
Eagle Wings,,(818) 861-7879,539 N Glenoaks Blvd. Suite 204A-1,"Burbank, CA 91502"
Sinai Medical Transport Corp.,,(323) 525-1355,345 N La Brea Ave Ste A,"Los Angeles, CA 90036"
Schaefer Ambulance Service,,(323) 469-1473,4627 Beverly Blvd,"Los Angeles, CA 90004"
American Medical Response,,(323) 666-2647,1300 N Vermont Ave,"Los Angeles, CA 90027"
G and H Medical Transportat,,(323) 913-2828,3306 Glendale Blvd Ste 7,"Los Angeles, CA 90039"
Medi-Star Transport,,(818) 955-9900,4156 Verdugo Rd,"Los Angeles, CA 90065"
Medlink Medical Transport,,(310) 630-0850,1551 W Redondo Beach Blvd Ste 102,"Gardena, CA 90247"
Liberty Medical,,(310) 641-8960,5250 W Century Blvd,"Los Angeles, CA 90045"
Trans Aid Non Emergency Medical Transportion,,(818) 265-5151,1300 Gardena Ave,"Glendale, CA 91204"
Socal Medtrans Inc,,(818) 907-0707,14148 Magnolia Blvd,"Sherman Oaks, CA 91423"
Arapap Care Inc,,(818) 361-1900,15515 San Fernando Mission Blvd,"Mission Hills, CA 91345"
