CompanyName,EmailAddress,Phone,StreetAddress,City
Godspeed medical transportation,,(818) 468-3371,1900 E Verdugo Ave,"Burbank, CA 91502"
Dolce Vita Medical Transportation,,(323) 400-5591,1208 N Gower St,"Los Angeles, CA 90038"
Hye Trans Medical Transportation,,(818) 846-6315,269 W Alameda Ave Ste B,"Burbank, CA 91502"
New Century Medical Transportation,,(323) 655-0916,8230 Beverly Blvd,"Los Angeles, CA 90048"
Star Medical Transportation,,(818) 623-0992,903 E Acacia Ave,"Glendale, CA 91205"
APT Ambulance & Medical Transportation,,(310) 846-4000,1233 S La Brea Ave,"Inglewood, CA 90301"
V & T Medical Transportation,,(323) 741-8400,1528 N Commonwealth Ave,"Los Angeles, CA 90027"
Eagle Wings Medical Transportation,,(818) 550-8150,204 E Chevy Chase Dr Ste 5,"Glendale, CA 91205"
EZ Trans Non Emergency Medical Transportation Services,,(800) 551-1555,1626 S Central Ave,"Glendale, CA 91204"
South Coast Medical Transportation,,(818) 247-8239,1224 E Broadway Ste 201,"Glendale, CA 91205"
Royal Medical Transportation,,(818) 500-7566,815 S Central Ave Ste 9,"Glendale, CA 91204"
General Medical Transportation,mailto:g.m.t@live.com,(818) 242-0177,1160 N Central Ave,"Glendale, CA 91202"
St Anthony Medical Transportation,,(310) 952-1280,15120 Atkinson Ave,"Gardena, CA 90249"
First Aid Medical Transportation,,(323) 344-3971,4515 Eagle Rock Blvd,"Los Angeles, CA 90041"
Star Medical Transportation,,(877) 675-7077,Los Angeles,"Los Angeles, CA 90048"
Star Medical Transportation,,(310) 532-3200,18411 Crenshaw Blvd Ste 280,"Torrance, CA 90504"
Sunny Medical Transportation,,,7315 W Sunset Blvd,"Los Angeles, CA 90046"
Ambiance Medical Trasnportation Inc,,(818) 255-3111,11929 Vose St,"North Hollywood, CA 91605"
"Global Med Trans, Inc.",,(855) 777-1011,225 E Broadway Ste B-102E,"Glendale, CA 91205"
"Reliance Medical Transport, Inc.",,,2829 N San Fernando Rd Ste 210,"Los Angeles, CA 90065"
World Trans Medical,,(818) 775-5700,19528 Ventura Blvd,"Tarzana, CA 91356"
Medlink Medical Transport,,(310) 630-0850,"1919  W Redondo Beach Blvd Ste 102, Gardena CA, 90247","Gardena, CA 90247"
Medical Transport Services,,(727) 201-1717,-,-
Agape Medical Transport,,(805) 247-0322,3645 Saviers Rd Ste 3,"Oxnard, CA 93033"
Gurney Wheelchair Accessible Transportation By World Trans,,(818) 775-5700,19528 Ventura Blvd # 198,"tarzana, CA 91356"
Nations Transportation,,(818) 895-1707,8745 Parthenia Pl Ste 3,"North Hills, CA 91343"
GMD Transportation,,(818) 764-1575,12531 Vanowen St,"North Hollywood, CA 91605"
B & B Transportation,,(818) 738-7150,6340 Coldwater Canyon Ave,"North Hollywood, CA 91606"
GMD Transportation,,(323) 874-4085,11240 Magnolia Blvd,"North Hollywood, CA 91601"
G M D Transportation,,(323) 874-4085,7441 W Sunset Blvd Ste 201,"Los Angeles, CA 90046"
