emailAddress,link,name,phone,companyName,address
,https://www.yellowpages.com/los-angeles-ca/mip/med-life-ambulance-service-12960735,,(818) 242-1785,med-life-ambulance-servic,"3539 Casitas Ave, Los Angeles, CA147 N Avenue 18, Los Angeles, CA6290 Hollywood Blvd, Los Angeles, CA815 S Central Ave Ste 9, Glendale, CA1300 N Vermont Ave, Los Angeles, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/atlas-rescues-531009236,,(818) 452-2424,atlas-rescues,"6470 Selma Ave, Los Angeles, CA1735 N Gramercy Pl, Los Angeles, CA1327 Cole Ave, Los Angeles, CA3525 W 3rd St, Los Angeles, CA5179 Fountain Ave Apt 1, Los Angeles, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/westmed-ambulance-526667983,,(323) 745-0540,westmed-ambulance,"5179 Fountain Ave Apt 1, Los Angeles, CA50 N La Cienega Blvd Ste 220, Beverly Hills, CA4400 Franklin Ave, Los Angeles, CA8240 Beverly Blvd Ste 6, Los Angeles, CA9903 Santa Monica Blvd, Beverly Hills, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/hatzoloh-of-la-532805925,,(323) 931-4340,hatzoloh-of-la,"6470 Selma Ave, Los Angeles, CA400 N Citrus Ave, Los Angeles, CA50 N La Cienega Blvd Ste 220, Beverly Hills, CA1327 Cole Ave, Los Angeles, CA1735 N Gramercy Pl, Los Angeles, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/shoreline-ambulance-470759046,,(323) 937-4308,shoreline-ambulance,"345 N La Brea Ave Ste A, Los Angeles, CA639 N Fairfax Ave, Los Angeles, CA225 E Broadway Ste B-102E, Glendale, CA510 N La Brea Ave, Inglewood, CA7533 Lexington Ave, West Hollywood, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/metro-valley-ambulance-478382278,,(818) 242-2872,metro-valley-ambulance,"532 Riverdale Dr, Glendale, CA225 E Broadway Ste B-102E, Glendale, CA526 Commercial St, Glendale, CA1626 S Central Ave, Glendale, CA526 Commercial St, Glendale, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/medreach-ambulance-service-541023905,,(323) 934-5671,medreach-ambulance-service,
,https://www.yellowpages.com/los-angeles-ca/mip/dependable-care-transportation-19563028,,(323) 556-8600,dependable-care-transportatio,"50 N La Cienega Blvd Ste 220, Beverly Hills, CA8240 Beverly Blvd Ste 6, Los Angeles, CA9903 Santa Monica Blvd, Beverly Hills, CA4901 5th Ave, Los Angeles, CA814 Columbia Ave Apt 10, Los Angeles, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/mc-cormick-ambulance-463578743,,(323) 291-6548,mc-cormick-ambulance,"1050 S Prairie Ave, Inglewood, CA510 N La Brea Ave, Inglewood, CA977 W Hyde Park Blvd, Inglewood, CA2713 W 143rd Pl, Gardena, CALos Angeles Intl Airport, Los Angeles, CA"
,https://www.yellowpages.com/los-angeles-ca/mip/care-america-transportation-inc-472636974,,(323) 874-0024,care-america-transportation-inc,
