CompanyName,EmailAddress,Phone,StreetAddress,City
Firstmed Ambulance Services Inc,,(818) 982-8333,7451 Lankershim Blvd,"North Hollywood, CA 91605"
Amwest Inc,,(818) 982-2545,7650 Lankershim Blvd,"North Hollywood, CA 91605"
"MedOne Ambulance Services, Inc.",,(818) 392-8783,13173 Van NUys Blvd,"Pacoima, CA 91331"
Gentle Care Transport Inc,,(323) 662-8777,3539 Casitas Ave,"Los Angeles, CA 90039"
Royalty Ambulance Svc Inc,,(818) 500-7566,815 S Central Ave Ste 9,"Glendale, CA 91204"
E-Z Trans Inc,,(818) 484-7933,1626 S Central Ave,"Glendale, CA 91204"
Independent Group Inc,,(310) 372-9999,2512 Artesia Blvd,"Redondo Beach, CA 90278"
Care Van Inc,,(818) 502-0353,1847 Dana St,"Glendale, CA 91201"
Westmed Ambulance Inc,,(424) 296-5959,3112 Martin Luther King Jr Blvd,"Lynwood, CA 90262"
Jessy Medi Ride Inc,,(310) 670-0189,8939 S Sepulveda Blvd,"Los Angeles, CA 90045"
Metropolitan Ambulatory Inc,,(818) 507-4702,1255 S Glendale Ave,"Glendale, CA 91205"
1st La Ambulance Inc,,(323) 343-9001,1600 N San Fernando Rd,"Los Angeles, CA 90065"
Brw Diversified,,(818) 701-0253,21935 Plummer St,"Chatsworth, CA 91311"
Westmed McCormick Ambulance,,(310) 456-3830,3872 Las Flores Canyon Rd,"Malibu, CA 90265"
American Professional Amblnc,,(818) 832-0409,16553 Rinaldi St,"Granada Hills, CA 91344"
American Professional Ambulance,,(818) 996-2200,16945 Sherman Way,"Van Nuys, CA 91406"
Air Rescue International,,(818) 994-0911,7435 Valjean Ave,"Van Nuys, CA 91406"
Pmt Ambulance,,(818) 376-1851,15477 Ventura Blvd,"Sherman Oaks, CA 91403"
Ambuserve Ambulance,,(818) 908-4201,7742 Gloria Ave,"Van Nuys, CA 91406"
American Professional Ambulance,,(818) 909-6500,7722 Densmore Ave,"Van Nuys, CA 91406"
Prn Ambulance,,(818) 810-3600,8928 Sepulveda Blvd,"North Hills, CA 91343"
Trans Life Ambulance,,(818) 901-8823,13947 Chandler Blvd,"Sherman Oaks, CA 91401"
Americare Ambulance Service,,(310) 399-0402,1947 14th St,"Santa Monica, CA 90404"
Bowers Ambulance,,(818) 765-7307,12638 Saticoy St S,"North Hollywood, CA 91605"
Bowers Ambulance Service,,(310) 636-1674,3816 Sepulveda Blvd,"Culver City, CA 90230"
All Town Ambulance,,(877) 599-4282,13812 Saticoy St,"Panorama City, CA 91402"
Gold Coast Ambulance,,(805) 485-1231,200 Bernoulli Cir,"Oxnard, CA 93030"
Beverly Hills Fire Department Headquarters - Station #1,,(310) 281-2700,445 N Rexford Dr,"Beverly Hills, CA 90210"
Shoreline Ambulance,,(323) 937-4308,5967 W 3rd St,"Los Angeles, CA 90036"
Mc Cormick Ambulance,,(323) 291-6548,4745 W Slauson Ave,"Los Angeles, CA 90056"
